observation_id,scenario,gender,age,race,disability_status,nationality,monthly_income,rental_history,employment_status,credit_check,deposit_offered,chosen
398,1,Female,30,Hispanic,Mental health history,Canadian,2x the rent,Prior late payments,Part-time,Excellent,2 months deposit,0
399,1,Male,45,White,Mental health history,American,4x the rent,Positive references,Part-time,Good,3 months deposit,1
400,1,Non-binary,35,White,None stated,Canadian,2x the rent,No prior rental history,Self-employed,Fair,3 months deposit,0
401,1,Male,45,White,Mental health history,Mexican,2x the rent,No prior rental history,Part-time,Excellent,2 months deposit,1
402,1,Female,35,Asian,None stated,Canadian,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
403,1,Female,45,Black,None stated,Canadian,4x the rent,Prior late payments,Full-time,Good,1 month deposit,0
404,1,Female,45,Black,Mental health history,Mexican,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
405,1,Male,30,White,Physical disability,Indian,4x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
406,1,Female,50,White,None stated,German,4x the rent,Positive references,Full-time,Fair,2 months deposit,1
407,1,Female,45,Black,Mental health history,Indian,2x the rent,Positive references,Full-time,Good,1 month deposit,1
408,1,Non-binary,30,White,Mental health history,Canadian,4x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
409,1,Non-binary,40,Black,Mental health history,Indian,2x the rent,No prior rental history,Full-time,Good,2 months deposit,1
410,1,Male,35,Hispanic,Physical disability,Mexican,3x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
411,1,Female,50,Hispanic,Mental health history,Indian,2x the rent,Prior late payments,Part-time,Good,3 months deposit,0
412,1,Non-binary,50,Black,Physical disability,German,2x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
413,1,Male,30,Black,Mental health history,Mexican,3x the rent,Positive references,Part-time,Excellent,2 months deposit,1
414,1,Non-binary,35,Black,None stated,American,3x the rent,Positive references,Self-employed,Good,2 months deposit,1
415,1,Female,50,Black,Mental health history,Indian,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,1
416,1,Female,55,Hispanic,Physical disability,Indian,3x the rent,Prior late payments,Part-time,Excellent,2 months deposit,0
417,1,Male,35,White,Mental health history,Canadian,3x the rent,Positive references,Self-employed,Fair,2 months deposit,1
418,1,Non-binary,55,Asian,None stated,Indian,4x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
419,1,Female,50,Hispanic,Physical disability,Indian,4x the rent,No prior rental history,Part-time,Fair,3 months deposit,0
420,1,Female,45,Hispanic,None stated,Canadian,4x the rent,Positive references,Self-employed,Good,1 month deposit,1
421,1,Female,55,Hispanic,None stated,American,2x the rent,Positive references,Full-time,Fair,2 months deposit,1
422,1,Non-binary,40,Hispanic,Mental health history,Mexican,2x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
423,1,Male,40,Hispanic,None stated,Canadian,4x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
424,1,Female,40,Asian,None stated,Indian,3x the rent,No prior rental history,Full-time,Good,3 months deposit,1
425,1,Non-binary,55,Asian,None stated,Canadian,3x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
426,1,Non-binary,30,White,Physical disability,Canadian,2x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
427,1,Female,55,White,Physical disability,American,3x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,0
428,1,Non-binary,30,Asian,None stated,German,2x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
429,1,Non-binary,35,Hispanic,None stated,Canadian,4x the rent,No prior rental history,Full-time,Fair,2 months deposit,1
430,1,Female,45,Black,Mental health history,German,2x the rent,Positive references,Self-employed,Fair,3 months deposit,1
431,1,Female,35,White,None stated,Mexican,4x the rent,Positive references,Self-employed,Fair,1 month deposit,1
432,1,Non-binary,55,Hispanic,Physical disability,Mexican,3x the rent,Positive references,Self-employed,Fair,3 months deposit,1
433,1,Male,45,White,Physical disability,Canadian,2x the rent,Positive references,Part-time,Fair,1 month deposit,1
434,1,Male,35,White,Physical disability,American,4x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
435,1,Non-binary,45,Black,None stated,American,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
436,1,Non-binary,55,Black,None stated,German,2x the rent,Prior late payments,Part-time,Excellent,1 month deposit,0
437,1,Male,55,Black,Physical disability,Indian,3x the rent,Positive references,Part-time,Fair,2 months deposit,1
438,1,Non-binary,45,Asian,Mental health history,Mexican,3x the rent,Prior late payments,Part-time,Fair,1 month deposit,1
439,1,Female,40,White,Physical disability,Indian,4x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
440,1,Male,35,White,Mental health history,German,3x the rent,Prior late payments,Full-time,Good,1 month deposit,1
441,1,Female,55,Asian,Mental health history,American,2x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
442,1,Male,30,Asian,Physical disability,Mexican,2x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
443,1,Female,35,Asian,None stated,Canadian,3x the rent,No prior rental history,Full-time,Good,1 month deposit,1
444,1,Non-binary,55,Hispanic,Mental health history,Canadian,3x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
445,1,Non-binary,50,Hispanic,Mental health history,Mexican,4x the rent,Positive references,Full-time,Good,3 months deposit,1
446,1,Male,45,Black,Mental health history,American,2x the rent,Positive references,Full-time,Good,3 months deposit,1
447,1,Male,35,Asian,None stated,Canadian,3x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
448,1,Male,35,Asian,Mental health history,Canadian,4x the rent,Prior late payments,Part-time,Fair,2 months deposit,0
449,1,Non-binary,35,Hispanic,Mental health history,Indian,3x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
450,1,Non-binary,50,Asian,None stated,Indian,4x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
451,1,Non-binary,35,White,Physical disability,Indian,4x the rent,Prior late payments,Self-employed,Good,2 months deposit,1
452,1,Male,30,Asian,None stated,German,4x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
453,1,Male,30,Asian,None stated,Mexican,4x the rent,No prior rental history,Full-time,Good,3 months deposit,1
454,1,Female,45,White,Physical disability,Indian,2x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
455,1,Male,50,Asian,Mental health history,Canadian,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,0
456,1,Non-binary,30,White,Mental health history,Mexican,2x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
457,1,Female,50,Asian,Physical disability,American,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
458,1,Female,35,Black,Physical disability,American,2x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
459,1,Male,30,White,Physical disability,German,4x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
460,1,Non-binary,55,Hispanic,Physical disability,Indian,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,1
461,1,Non-binary,50,Hispanic,Mental health history,German,3x the rent,Prior late payments,Full-time,Excellent,3 months deposit,0
462,1,Female,30,Black,Physical disability,American,3x the rent,Prior late payments,Full-time,Good,1 month deposit,0
463,1,Non-binary,50,Hispanic,Mental health history,American,4x the rent,Prior late payments,Self-employed,Fair,1 month deposit,1
464,1,Female,40,Black,None stated,Mexican,4x the rent,Positive references,Self-employed,Fair,3 months deposit,1
465,1,Male,45,Asian,None stated,Indian,4x the rent,Positive references,Self-employed,Good,2 months deposit,1
466,1,Female,35,Asian,Physical disability,Mexican,3x the rent,Prior late payments,Part-time,Good,2 months deposit,0
467,1,Female,35,Asian,Physical disability,American,2x the rent,Positive references,Full-time,Good,3 months deposit,1
468,1,Male,40,White,Mental health history,German,3x the rent,Positive references,Self-employed,Good,3 months deposit,1
469,1,Female,30,Black,Mental health history,Mexican,4x the rent,No prior rental history,Self-employed,Good,3 months deposit,0
470,1,Non-binary,35,Black,Physical disability,Indian,3x the rent,Prior late payments,Full-time,Excellent,1 month deposit,1
471,1,Female,50,Asian,Physical disability,German,2x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
472,1,Female,35,Asian,None stated,American,2x the rent,Positive references,Full-time,Excellent,3 months deposit,1
473,1,Non-binary,40,Asian,Physical disability,Indian,3x the rent,No prior rental history,Full-time,Fair,3 months deposit,1
474,1,Non-binary,45,Hispanic,None stated,German,4x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
475,1,Female,35,Hispanic,None stated,American,2x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
476,1,Non-binary,40,Hispanic,Physical disability,Indian,4x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
477,1,Female,30,White,None stated,Canadian,2x the rent,Positive references,Full-time,Excellent,2 months deposit,1
478,1,Male,40,Asian,Mental health history,Canadian,2x the rent,Prior late payments,Full-time,Excellent,2 months deposit,1
479,1,Male,55,Hispanic,Mental health history,Indian,3x the rent,No prior rental history,Full-time,Good,1 month deposit,0
480,1,Female,55,Asian,Mental health history,Canadian,4x the rent,No prior rental history,Part-time,Good,3 months deposit,1
481,1,Male,35,White,None stated,American,4x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
482,1,Male,55,Black,Mental health history,Indian,3x the rent,Positive references,Part-time,Fair,1 month deposit,1
483,1,Non-binary,45,Hispanic,None stated,American,2x the rent,Positive references,Full-time,Excellent,1 month deposit,1
484,1,Female,45,Hispanic,Mental health history,Canadian,2x the rent,Positive references,Full-time,Good,2 months deposit,1
485,1,Female,50,Black,None stated,Indian,4x the rent,No prior rental history,Part-time,Good,3 months deposit,0
486,1,Non-binary,30,Hispanic,Physical disability,Mexican,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
487,1,Male,40,White,None stated,Mexican,2x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
488,1,Non-binary,40,Black,Physical disability,Mexican,4x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
489,1,Female,55,Black,None stated,German,2x the rent,Positive references,Full-time,Excellent,1 month deposit,1
490,1,Male,30,Hispanic,Physical disability,Canadian,4x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
491,1,Female,35,Hispanic,None stated,American,4x the rent,Positive references,Full-time,Fair,2 months deposit,1
492,1,Female,55,Hispanic,Physical disability,Mexican,3x the rent,Positive references,Full-time,Fair,2 months deposit,1
493,1,Female,30,White,Physical disability,German,2x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,0
494,1,Non-binary,30,White,Physical disability,American,2x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
495,1,Female,30,White,Physical disability,American,2x the rent,Prior late payments,Part-time,Good,3 months deposit,0
496,1,Non-binary,55,Asian,None stated,Indian,4x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
497,1,Non-binary,55,Asian,Physical disability,Mexican,3x the rent,Positive references,Full-time,Excellent,2 months deposit,1
498,1,Female,30,White,Physical disability,American,2x the rent,Positive references,Part-time,Fair,1 month deposit,1
499,1,Non-binary,35,Black,Physical disability,Mexican,2x the rent,Positive references,Full-time,Excellent,2 months deposit,1
500,1,Male,45,Black,Physical disability,Mexican,3x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
501,1,Male,45,Hispanic,Physical disability,American,4x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
502,1,Non-binary,35,White,None stated,American,3x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
503,1,Male,35,Asian,Physical disability,German,3x the rent,No prior rental history,Part-time,Fair,2 months deposit,1
504,1,Male,50,White,Mental health history,Mexican,3x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
505,1,Male,35,White,Physical disability,Canadian,4x the rent,Prior late payments,Part-time,Good,3 months deposit,0
506,1,Male,55,Asian,Mental health history,Indian,3x the rent,No prior rental history,Part-time,Excellent,2 months deposit,0
507,1,Female,50,Hispanic,Physical disability,Mexican,4x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,0
508,1,Female,40,Hispanic,Physical disability,American,4x the rent,No prior rental history,Full-time,Good,3 months deposit,1
509,1,Female,40,White,Mental health history,German,4x the rent,No prior rental history,Self-employed,Fair,3 months deposit,1
510,1,Non-binary,50,Asian,Physical disability,Mexican,4x the rent,Positive references,Self-employed,Good,2 months deposit,1
511,1,Non-binary,45,White,Physical disability,American,4x the rent,Positive references,Part-time,Good,1 month deposit,1
512,1,Male,55,Black,Physical disability,German,4x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
513,1,Male,40,Asian,Mental health history,German,2x the rent,Positive references,Part-time,Good,1 month deposit,1
514,1,Female,35,Hispanic,None stated,Indian,2x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
515,1,Male,35,White,None stated,Mexican,3x the rent,Positive references,Part-time,Fair,3 months deposit,1
516,1,Non-binary,30,Asian,None stated,Canadian,2x the rent,Prior late payments,Self-employed,Fair,2 months deposit,1
517,1,Male,45,Black,None stated,Canadian,4x the rent,Positive references,Part-time,Excellent,3 months deposit,1
518,1,Male,35,Hispanic,Physical disability,American,3x the rent,Prior late payments,Self-employed,Fair,2 months deposit,0
519,1,Female,55,Asian,Mental health history,American,3x the rent,Positive references,Full-time,Fair,2 months deposit,1
520,1,Male,30,Black,Mental health history,Indian,3x the rent,Positive references,Part-time,Fair,2 months deposit,1
521,1,Male,55,White,Mental health history,Indian,3x the rent,Positive references,Self-employed,Fair,1 month deposit,1
522,1,Non-binary,40,Asian,Mental health history,German,2x the rent,No prior rental history,Full-time,Excellent,2 months deposit,1
523,1,Male,40,White,Physical disability,American,4x the rent,Prior late payments,Part-time,Fair,2 months deposit,0
524,1,Female,50,Hispanic,None stated,Mexican,2x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
525,1,Non-binary,45,Hispanic,Mental health history,American,2x the rent,No prior rental history,Self-employed,Fair,3 months deposit,0
526,1,Non-binary,45,White,None stated,Canadian,3x the rent,Prior late payments,Part-time,Good,2 months deposit,0
527,1,Male,50,White,Physical disability,Indian,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
528,1,Female,35,Hispanic,None stated,Canadian,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
529,1,Female,45,Asian,None stated,American,4x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
530,1,Female,40,White,Physical disability,Indian,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
531,1,Non-binary,45,Hispanic,Mental health history,German,4x the rent,No prior rental history,Part-time,Good,2 months deposit,0
532,1,Male,40,White,Physical disability,American,3x the rent,No prior rental history,Full-time,Good,2 months deposit,1
533,1,Male,55,Black,Physical disability,Mexican,3x the rent,Prior late payments,Full-time,Excellent,2 months deposit,0
534,1,Male,45,Black,Physical disability,Mexican,4x the rent,Prior late payments,Full-time,Good,2 months deposit,1
535,1,Female,55,Hispanic,Physical disability,German,4x the rent,Prior late payments,Full-time,Good,3 months deposit,1
536,1,Female,55,Hispanic,Physical disability,Indian,3x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
537,1,Male,55,Black,None stated,Canadian,4x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,1
538,1,Female,55,White,Physical disability,Indian,2x the rent,Positive references,Full-time,Fair,1 month deposit,1
539,1,Female,55,White,None stated,Canadian,2x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
540,1,Male,35,Asian,Mental health history,American,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
541,1,Male,30,Hispanic,Mental health history,Mexican,2x the rent,Positive references,Full-time,Good,3 months deposit,1
542,1,Non-binary,50,Asian,Physical disability,American,2x the rent,No prior rental history,Self-employed,Fair,1 month deposit,0
543,1,Male,55,Black,None stated,German,4x the rent,Prior late payments,Full-time,Fair,2 months deposit,1
544,1,Male,50,Asian,None stated,German,2x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
545,1,Female,35,Hispanic,Mental health history,Indian,2x the rent,Positive references,Part-time,Excellent,1 month deposit,1
546,1,Male,35,Asian,Mental health history,Indian,2x the rent,Positive references,Part-time,Good,2 months deposit,1
547,1,Female,40,Black,Mental health history,Indian,3x the rent,Prior late payments,Full-time,Fair,1 month deposit,1
548,1,Non-binary,55,Asian,Physical disability,Mexican,3x the rent,Prior late payments,Part-time,Excellent,1 month deposit,1
549,1,Female,50,Hispanic,Physical disability,German,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
550,1,Female,35,White,Mental health history,Mexican,4x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
551,1,Male,45,Hispanic,Mental health history,German,4x the rent,Positive references,Part-time,Fair,1 month deposit,1
552,1,Non-binary,30,Black,Mental health history,Indian,3x the rent,Prior late payments,Full-time,Excellent,2 months deposit,0
553,1,Female,40,Black,None stated,Indian,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
554,1,Non-binary,50,Asian,None stated,Mexican,2x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
555,1,Male,55,Asian,Mental health history,Mexican,3x the rent,Prior late payments,Part-time,Excellent,2 months deposit,0
556,1,Non-binary,35,White,None stated,Indian,4x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
557,1,Female,55,White,Mental health history,German,4x the rent,Positive references,Self-employed,Fair,1 month deposit,1
558,1,Non-binary,45,Hispanic,Mental health history,Mexican,3x the rent,Positive references,Part-time,Excellent,3 months deposit,1
559,1,Non-binary,40,Hispanic,None stated,German,2x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
560,1,Male,55,Asian,Mental health history,American,2x the rent,No prior rental history,Full-time,Good,2 months deposit,0
561,1,Male,45,Black,None stated,Indian,3x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
562,1,Male,35,Black,None stated,Canadian,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
563,1,Non-binary,50,Hispanic,Physical disability,German,4x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
564,1,Non-binary,30,Black,Physical disability,German,2x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
565,1,Male,55,White,Mental health history,Canadian,2x the rent,Prior late payments,Part-time,Good,2 months deposit,0
566,1,Male,40,Asian,Mental health history,Mexican,4x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
567,1,Non-binary,40,White,None stated,German,2x the rent,Positive references,Full-time,Fair,3 months deposit,1
568,1,Male,40,Black,Mental health history,Canadian,2x the rent,No prior rental history,Full-time,Good,2 months deposit,1
569,1,Non-binary,50,Black,Mental health history,Canadian,2x the rent,Positive references,Full-time,Excellent,3 months deposit,1
570,1,Female,55,White,Mental health history,Mexican,2x the rent,Prior late payments,Part-time,Excellent,3 months deposit,0
571,1,Male,40,Asian,None stated,Canadian,3x the rent,Positive references,Self-employed,Good,1 month deposit,1
572,1,Male,45,Asian,Physical disability,German,3x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
573,1,Female,40,Hispanic,Physical disability,Indian,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,0
574,1,Female,30,Asian,Mental health history,American,3x the rent,Prior late payments,Part-time,Good,2 months deposit,0
575,1,Female,30,White,Mental health history,Indian,4x the rent,Prior late payments,Full-time,Excellent,2 months deposit,1
576,1,Female,55,Black,None stated,American,3x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
577,1,Female,35,Hispanic,None stated,American,2x the rent,Positive references,Full-time,Good,1 month deposit,1
578,1,Male,55,Hispanic,Physical disability,American,4x the rent,Positive references,Part-time,Excellent,3 months deposit,1
579,1,Female,50,Hispanic,Physical disability,Indian,2x the rent,No prior rental history,Part-time,Fair,2 months deposit,0
580,1,Female,45,White,Mental health history,German,4x the rent,Positive references,Part-time,Excellent,3 months deposit,1
581,1,Non-binary,30,Asian,Mental health history,Indian,4x the rent,No prior rental history,Full-time,Excellent,2 months deposit,1
582,1,Female,55,Black,Mental health history,German,4x the rent,Positive references,Full-time,Excellent,2 months deposit,1
583,1,Male,30,White,Mental health history,Canadian,3x the rent,No prior rental history,Full-time,Good,3 months deposit,1
584,1,Female,55,White,Mental health history,Canadian,2x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
585,1,Male,30,Asian,None stated,American,2x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
586,1,Non-binary,50,Asian,None stated,Canadian,3x the rent,Positive references,Full-time,Fair,1 month deposit,1
587,1,Female,50,Hispanic,Mental health history,Indian,4x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
588,1,Male,35,White,None stated,American,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
589,1,Non-binary,30,Hispanic,Physical disability,Canadian,3x the rent,Positive references,Part-time,Good,3 months deposit,1
590,1,Non-binary,50,Hispanic,None stated,German,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
591,1,Non-binary,30,Black,Mental health history,American,2x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
592,1,Non-binary,35,White,Physical disability,German,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
593,1,Female,50,Asian,Physical disability,Canadian,2x the rent,Prior late payments,Full-time,Good,2 months deposit,1
594,1,Female,40,White,Mental health history,Indian,2x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
595,1,Female,50,Black,None stated,Indian,3x the rent,Prior late payments,Full-time,Good,1 month deposit,1
596,1,Non-binary,30,White,Mental health history,American,3x the rent,Positive references,Full-time,Good,3 months deposit,1
597,1,Non-binary,55,White,None stated,Canadian,3x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
598,1,Male,30,Asian,Mental health history,American,3x the rent,Positive references,Full-time,Good,2 months deposit,1
599,1,Non-binary,55,Hispanic,Physical disability,Mexican,2x the rent,Prior late payments,Part-time,Fair,2 months deposit,0
600,1,Non-binary,30,White,None stated,Indian,2x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
601,1,Non-binary,35,White,None stated,American,2x the rent,No prior rental history,Self-employed,Good,1 month deposit,1
602,1,Male,30,Asian,Mental health history,Mexican,3x the rent,Positive references,Part-time,Excellent,3 months deposit,1
603,1,Non-binary,45,Black,None stated,American,2x the rent,No prior rental history,Full-time,Fair,1 month deposit,0
604,1,Male,35,White,Mental health history,American,2x the rent,Prior late payments,Full-time,Good,1 month deposit,0
605,1,Non-binary,30,Hispanic,Mental health history,Mexican,2x the rent,Prior late payments,Part-time,Good,3 months deposit,0
606,1,Female,40,Black,Mental health history,German,3x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
607,1,Non-binary,30,Hispanic,Mental health history,American,3x the rent,No prior rental history,Self-employed,Good,1 month deposit,1
608,1,Non-binary,40,Black,Physical disability,American,2x the rent,Prior late payments,Part-time,Fair,1 month deposit,1
609,1,Female,40,Hispanic,None stated,American,2x the rent,No prior rental history,Part-time,Fair,3 months deposit,0
610,1,Female,45,Asian,Mental health history,German,2x the rent,No prior rental history,Self-employed,Good,2 months deposit,0
611,1,Non-binary,45,Black,None stated,Canadian,2x the rent,No prior rental history,Full-time,Good,1 month deposit,1
612,1,Non-binary,55,White,Physical disability,German,3x the rent,Prior late payments,Self-employed,Fair,3 months deposit,1
613,1,Male,30,White,Physical disability,Indian,4x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
614,1,Male,35,Black,None stated,Indian,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
615,1,Non-binary,45,White,Mental health history,American,2x the rent,Prior late payments,Full-time,Good,2 months deposit,0
616,1,Male,50,Black,Physical disability,American,3x the rent,Prior late payments,Full-time,Good,2 months deposit,1
617,1,Female,45,Asian,Mental health history,Mexican,4x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
618,1,Male,35,White,Mental health history,Canadian,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
619,1,Non-binary,35,White,None stated,Indian,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
620,1,Male,50,White,None stated,Mexican,3x the rent,No prior rental history,Part-time,Fair,1 month deposit,1
621,1,Female,45,Hispanic,Physical disability,American,3x the rent,Positive references,Self-employed,Fair,3 months deposit,1
622,1,Female,50,White,Physical disability,Mexican,4x the rent,Positive references,Full-time,Excellent,2 months deposit,1
623,1,Female,30,Black,Mental health history,Indian,4x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
624,1,Male,40,White,Mental health history,German,3x the rent,Positive references,Part-time,Fair,1 month deposit,1
625,1,Non-binary,30,Black,None stated,American,2x the rent,Prior late payments,Part-time,Excellent,3 months deposit,0
626,1,Non-binary,30,Black,None stated,German,3x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
627,1,Male,40,Asian,Physical disability,American,4x the rent,Positive references,Full-time,Fair,1 month deposit,1
628,1,Non-binary,40,Hispanic,None stated,Mexican,4x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
629,1,Non-binary,30,Black,None stated,German,4x the rent,No prior rental history,Full-time,Excellent,2 months deposit,1
630,1,Male,40,Asian,None stated,Canadian,3x the rent,Positive references,Full-time,Excellent,3 months deposit,1
631,1,Non-binary,30,Black,Mental health history,American,4x the rent,Positive references,Full-time,Good,1 month deposit,1
632,1,Male,55,White,None stated,Indian,4x the rent,Positive references,Part-time,Good,3 months deposit,1
633,1,Female,55,Asian,Mental health history,American,2x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
634,1,Non-binary,55,Hispanic,Physical disability,Mexican,3x the rent,Prior late payments,Part-time,Good,1 month deposit,0
635,1,Female,30,White,Mental health history,American,2x the rent,Positive references,Self-employed,Fair,3 months deposit,1
636,1,Male,55,Asian,Mental health history,German,2x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
637,1,Male,50,Asian,Physical disability,Indian,3x the rent,Positive references,Full-time,Fair,2 months deposit,1
638,1,Female,35,Asian,Mental health history,German,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
639,1,Male,30,Asian,None stated,American,4x the rent,Positive references,Part-time,Excellent,3 months deposit,1
640,1,Non-binary,35,Black,Mental health history,Canadian,4x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
641,1,Female,30,Hispanic,None stated,American,3x the rent,Positive references,Self-employed,Good,3 months deposit,1
642,1,Non-binary,45,Hispanic,Physical disability,American,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
643,1,Non-binary,30,White,Physical disability,German,4x the rent,Prior late payments,Full-time,Good,1 month deposit,0
644,1,Male,40,White,Physical disability,Indian,4x the rent,Positive references,Part-time,Fair,1 month deposit,1
645,1,Female,35,Asian,Physical disability,Indian,3x the rent,Prior late payments,Full-time,Fair,3 months deposit,0
646,1,Female,55,White,Physical disability,American,2x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,0
647,1,Female,55,Black,None stated,Mexican,4x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
648,1,Non-binary,55,Asian,Mental health history,Mexican,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
649,1,Female,45,Hispanic,Mental health history,American,2x the rent,No prior rental history,Full-time,Good,3 months deposit,1
650,1,Non-binary,30,White,Physical disability,Canadian,4x the rent,Positive references,Part-time,Excellent,2 months deposit,1
651,1,Female,45,White,Mental health history,American,2x the rent,Positive references,Full-time,Good,2 months deposit,1
652,1,Male,55,White,Physical disability,Canadian,3x the rent,No prior rental history,Full-time,Fair,2 months deposit,0
653,1,Non-binary,30,White,Mental health history,Canadian,4x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
654,1,Male,35,Hispanic,None stated,Mexican,2x the rent,Positive references,Full-time,Good,3 months deposit,1
655,1,Male,35,Black,None stated,Indian,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
656,1,Non-binary,55,Hispanic,Physical disability,Canadian,4x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
657,1,Male,40,White,Mental health history,Indian,4x the rent,Prior late payments,Self-employed,Good,1 month deposit,1
658,1,Female,35,White,None stated,German,3x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
659,1,Non-binary,30,Black,None stated,Mexican,2x the rent,No prior rental history,Full-time,Fair,3 months deposit,0
