observation_id,scenario,gender,age,race,disability_status,nationality,annual_income,credit_score,employment_length,existing_debt,requested_amount,chosen
609,1,Non-binary,35,Asian,Mental health history,Mexican,"$95,000",Fair,6+ years,Low,"$5,000",1
610,1,Non-binary,35,White,None stated,Indian,"$95,000",Good,Less than 1 year,Low,"$30,000",1
611,1,Non-binary,30,Asian,Physical disability,Mexican,"$60,000",Good,6+ years,High,"$5,000",1
612,1,Female,40,White,Physical disability,American,"$35,000",Good,2-5 years,High,"$30,000",0
613,1,Male,30,Hispanic,Physical disability,American,"$95,000",Fair,6+ years,Moderate,"$30,000",1
614,1,Female,55,White,Mental health history,German,"$35,000",Excellent,2-5 years,High,"$30,000",1
615,1,Non-binary,40,Asian,None stated,Mexican,"$35,000",Good,6+ years,Moderate,"$15,000",1
616,1,Non-binary,35,Asian,Mental health history,German,"$95,000",Good,Less than 1 year,High,"$5,000",0
617,1,Non-binary,45,Hispanic,None stated,Mexican,"$95,000",Excellent,2-5 years,High,"$5,000",1
618,1,Female,40,Hispanic,None stated,Canadian,"$140,000",Good,Less than 1 year,High,"$5,000",1
619,1,Female,45,Black,Mental health history,Mexican,"$95,000",Good,Less than 1 year,High,"$30,000",0
620,1,Non-binary,40,Asian,Mental health history,Canadian,"$140,000",Fair,2-5 years,High,"$30,000",0
621,1,Female,30,Hispanic,Physical disability,German,"$140,000",Good,Less than 1 year,High,"$5,000",1
622,1,Female,50,Hispanic,None stated,German,"$140,000",Excellent,6+ years,Low,"$5,000",1
623,1,Female,50,Black,Mental health history,Indian,"$35,000",Good,6+ years,Moderate,"$15,000",1
624,1,Non-binary,50,White,Physical disability,German,"$35,000",Good,Less than 1 year,High,"$30,000",0
625,1,Male,50,Asian,Mental health history,German,"$95,000",Excellent,6+ years,High,"$30,000",1
626,1,Non-binary,55,Asian,Physical disability,Canadian,"$140,000",Good,Less than 1 year,Moderate,"$5,000",1
627,1,Non-binary,40,White,Mental health history,Canadian,"$95,000",Fair,Less than 1 year,Moderate,"$5,000",0
628,1,Male,50,Hispanic,Physical disability,German,"$140,000",Good,Less than 1 year,Low,"$30,000",1
629,1,Non-binary,40,Asian,Physical disability,Canadian,"$140,000",Excellent,2-5 years,Low,"$5,000",1
630,1,Female,45,Black,Mental health history,Indian,"$140,000",Excellent,6+ years,High,"$5,000",1
631,1,Female,55,White,None stated,Canadian,"$35,000",Fair,2-5 years,Moderate,"$30,000",0
632,1,Non-binary,50,Black,None stated,American,"$35,000",Fair,2-5 years,High,"$30,000",0
633,1,Non-binary,45,White,Physical disability,Indian,"$140,000",Excellent,Less than 1 year,High,"$5,000",0
634,1,Non-binary,45,Asian,None stated,Canadian,"$95,000",Excellent,2-5 years,Low,"$15,000",1
635,1,Non-binary,40,Hispanic,None stated,German,"$35,000",Excellent,Less than 1 year,Low,"$30,000",1
636,1,Non-binary,55,Hispanic,None stated,Indian,"$140,000",Good,6+ years,Low,"$5,000",1
637,1,Non-binary,55,Black,Mental health history,German,"$60,000",Fair,6+ years,Low,"$30,000",0
638,1,Non-binary,45,Asian,Physical disability,Mexican,"$95,000",Fair,2-5 years,Low,"$5,000",1
639,1,Female,35,White,Physical disability,Mexican,"$35,000",Fair,6+ years,Low,"$15,000",0
640,1,Female,45,White,Physical disability,Mexican,"$60,000",Fair,6+ years,High,"$15,000",0
641,1,Non-binary,50,Asian,Mental health history,Mexican,"$95,000",Good,6+ years,High,"$15,000",1
642,1,Male,35,White,None stated,American,"$35,000",Fair,2-5 years,Moderate,"$15,000",0
643,1,Female,30,Hispanic,Physical disability,Mexican,"$140,000",Good,2-5 years,High,"$5,000",1
644,1,Non-binary,50,White,Mental health history,Canadian,"$35,000",Fair,Less than 1 year,High,"$5,000",0
645,1,Non-binary,55,Asian,Mental health history,Canadian,"$35,000",Excellent,6+ years,High,"$5,000",0
646,1,Male,40,White,Mental health history,Indian,"$95,000",Good,Less than 1 year,Moderate,"$30,000",1
647,1,Female,45,White,None stated,German,"$140,000",Good,2-5 years,Low,"$15,000",1
648,1,Male,30,Black,Physical disability,American,"$95,000",Fair,6+ years,High,"$30,000",0
649,1,Non-binary,45,Black,Mental health history,American,"$60,000",Excellent,2-5 years,Moderate,"$15,000",1
650,1,Male,55,Asian,Physical disability,American,"$140,000",Good,2-5 years,Low,"$30,000",1
651,1,Female,50,Black,None stated,Mexican,"$35,000",Excellent,Less than 1 year,High,"$30,000",0
652,1,Female,30,Hispanic,Physical disability,Indian,"$35,000",Fair,Less than 1 year,High,"$5,000",0
653,1,Male,35,Black,Physical disability,Indian,"$140,000",Excellent,2-5 years,High,"$15,000",1
654,1,Female,55,Asian,Physical disability,Mexican,"$35,000",Fair,Less than 1 year,Moderate,"$15,000",0
655,1,Female,40,White,None stated,Canadian,"$60,000",Fair,2-5 years,Low,"$15,000",0
656,1,Male,45,Black,Physical disability,Mexican,"$35,000",Fair,Less than 1 year,Moderate,"$15,000",0
657,1,Non-binary,55,White,None stated,Indian,"$35,000",Excellent,6+ years,High,"$15,000",1
658,1,Female,50,Black,Mental health history,German,"$35,000",Fair,2-5 years,Low,"$15,000",0
659,1,Female,55,Black,None stated,American,"$60,000",Excellent,2-5 years,Low,"$30,000",1
660,1,Male,40,Asian,Mental health history,Mexican,"$35,000",Fair,2-5 years,High,"$15,000",0
661,1,Male,50,White,None stated,American,"$140,000",Fair,Less than 1 year,High,"$30,000",0
662,1,Female,45,Asian,None stated,Mexican,"$35,000",Fair,2-5 years,High,"$5,000",0
663,1,Non-binary,30,Asian,Physical disability,Indian,"$140,000",Good,6+ years,Moderate,"$15,000",1
664,1,Non-binary,50,Asian,Physical disability,German,"$35,000",Good,6+ years,Low,"$5,000",1
665,1,Female,35,Asian,Mental health history,Mexican,"$35,000",Fair,Less than 1 year,Moderate,"$15,000",0
666,1,Female,55,Hispanic,Physical disability,Canadian,"$35,000",Good,Less than 1 year,High,"$15,000",0
667,1,Male,55,Asian,Physical disability,Canadian,"$140,000",Fair,Less than 1 year,Low,"$30,000",0
668,1,Female,45,Hispanic,Mental health history,Indian,"$35,000",Fair,2-5 years,Low,"$30,000",0
669,1,Non-binary,50,White,None stated,American,"$60,000",Fair,Less than 1 year,Low,"$5,000",0
670,1,Female,40,Black,Mental health history,American,"$60,000",Fair,Less than 1 year,High,"$30,000",0
671,1,Female,30,Asian,None stated,Canadian,"$140,000",Fair,Less than 1 year,Low,"$30,000",0
672,1,Female,40,Asian,Mental health history,Indian,"$140,000",Good,2-5 years,Moderate,"$5,000",1
673,1,Non-binary,40,Black,Physical disability,Indian,"$95,000",Fair,6+ years,Low,"$5,000",1
674,1,Non-binary,55,Asian,Mental health history,German,"$95,000",Excellent,6+ years,Low,"$5,000",1
675,1,Non-binary,35,White,Physical disability,Mexican,"$140,000",Fair,2-5 years,Moderate,"$30,000",1
676,1,Male,45,Hispanic,Physical disability,Mexican,"$95,000",Excellent,6+ years,Moderate,"$15,000",1
677,1,Non-binary,45,Asian,None stated,Mexican,"$95,000",Fair,2-5 years,Moderate,"$5,000",0
678,1,Non-binary,55,Asian,Mental health history,Canadian,"$60,000",Fair,6+ years,High,"$5,000",0
679,1,Male,50,Hispanic,Mental health history,Mexican,"$95,000",Good,2-5 years,High,"$15,000",1
680,1,Male,55,White,None stated,Indian,"$35,000",Excellent,2-5 years,Moderate,"$15,000",1
681,1,Female,55,White,Physical disability,Indian,"$140,000",Excellent,6+ years,Moderate,"$15,000",1
682,1,Male,40,Black,Physical disability,German,"$60,000",Excellent,2-5 years,Moderate,"$15,000",1
683,1,Female,35,Hispanic,Physical disability,Indian,"$140,000",Good,6+ years,Moderate,"$30,000",1
684,1,Male,50,White,None stated,Canadian,"$95,000",Fair,2-5 years,High,"$30,000",0
685,1,Male,35,Hispanic,Mental health history,American,"$95,000",Good,6+ years,Low,"$5,000",1
686,1,Female,30,Asian,Physical disability,Indian,"$35,000",Excellent,6+ years,Moderate,"$15,000",1
687,1,Male,45,Black,Physical disability,American,"$95,000",Excellent,2-5 years,Moderate,"$30,000",1
688,1,Male,30,Hispanic,Physical disability,Indian,"$60,000",Excellent,Less than 1 year,Low,"$30,000",0
689,1,Non-binary,30,Black,None stated,Canadian,"$35,000",Good,6+ years,Moderate,"$5,000",1
690,1,Non-binary,35,Black,Mental health history,Mexican,"$60,000",Fair,Less than 1 year,High,"$15,000",0
691,1,Female,30,Hispanic,Mental health history,Indian,"$140,000",Excellent,6+ years,Low,"$15,000",1
692,1,Female,40,Black,Mental health history,German,"$140,000",Fair,Less than 1 year,Low,"$5,000",0
693,1,Non-binary,40,Hispanic,Physical disability,Canadian,"$60,000",Good,2-5 years,Low,"$30,000",1
694,1,Non-binary,30,White,Mental health history,American,"$140,000",Excellent,Less than 1 year,Low,"$15,000",1
695,1,Non-binary,55,Asian,Physical disability,German,"$95,000",Fair,2-5 years,Low,"$30,000",0
696,1,Male,40,Black,Physical disability,American,"$95,000",Good,6+ years,Moderate,"$5,000",1
697,1,Non-binary,35,Hispanic,Mental health history,Canadian,"$35,000",Fair,2-5 years,Low,"$30,000",0
698,1,Non-binary,50,Asian,Physical disability,Canadian,"$35,000",Fair,Less than 1 year,High,"$5,000",0
699,1,Female,30,Asian,None stated,Canadian,"$60,000",Fair,6+ years,Low,"$30,000",0
700,1,Non-binary,35,Black,Mental health history,American,"$140,000",Good,6+ years,Low,"$30,000",1
701,1,Male,50,White,Mental health history,Canadian,"$35,000",Fair,Less than 1 year,Moderate,"$5,000",0
702,1,Non-binary,30,Asian,Mental health history,American,"$140,000",Excellent,6+ years,Low,"$5,000",1
703,1,Female,45,Hispanic,None stated,Canadian,"$60,000",Excellent,Less than 1 year,Low,"$30,000",1
704,1,Male,35,Black,None stated,Canadian,"$35,000",Good,2-5 years,High,"$30,000",0
705,1,Non-binary,35,Hispanic,None stated,Indian,"$60,000",Fair,2-5 years,Low,"$5,000",1
706,1,Female,35,Black,None stated,German,"$95,000",Good,Less than 1 year,Low,"$5,000",1
707,1,Non-binary,40,Black,None stated,Indian,"$95,000",Fair,Less than 1 year,High,"$15,000",0
708,1,Female,40,Black,Mental health history,Canadian,"$95,000",Fair,Less than 1 year,High,"$15,000",0
709,1,Non-binary,45,Black,None stated,American,"$35,000",Excellent,Less than 1 year,High,"$15,000",0
710,1,Female,30,Hispanic,None stated,Mexican,"$140,000",Excellent,Less than 1 year,Moderate,"$30,000",1
711,1,Female,45,Asian,None stated,American,"$140,000",Fair,Less than 1 year,Moderate,"$30,000",0
712,1,Non-binary,35,Asian,Physical disability,Mexican,"$95,000",Fair,6+ years,Moderate,"$15,000",1
713,1,Female,55,Asian,None stated,Canadian,"$60,000",Excellent,6+ years,High,"$15,000",1
714,1,Female,35,Black,None stated,Mexican,"$60,000",Excellent,Less than 1 year,Moderate,"$5,000",1
715,1,Male,35,White,None stated,Mexican,"$35,000",Good,6+ years,High,"$5,000",1
716,1,Male,45,Asian,None stated,Mexican,"$95,000",Good,2-5 years,Low,"$5,000",1
717,1,Non-binary,30,Asian,None stated,Mexican,"$95,000",Excellent,2-5 years,Low,"$5,000",1
718,1,Non-binary,55,White,Mental health history,Indian,"$140,000",Excellent,Less than 1 year,High,"$30,000",0
719,1,Male,55,Asian,Mental health history,Indian,"$95,000",Good,2-5 years,High,"$5,000",0
720,1,Male,50,Hispanic,Mental health history,Canadian,"$60,000",Excellent,6+ years,Moderate,"$5,000",1
721,1,Male,55,Asian,Mental health history,Mexican,"$35,000",Fair,Less than 1 year,High,"$30,000",0
722,1,Female,55,Black,None stated,Canadian,"$95,000",Good,2-5 years,High,"$30,000",1
723,1,Non-binary,30,Asian,Mental health history,Canadian,"$95,000",Excellent,Less than 1 year,Low,"$30,000",1
724,1,Female,55,White,Physical disability,German,"$35,000",Fair,6+ years,Moderate,"$5,000",0
725,1,Female,30,White,None stated,German,"$35,000",Fair,2-5 years,Low,"$5,000",0
726,1,Non-binary,30,Black,Physical disability,American,"$95,000",Good,2-5 years,High,"$15,000",1
727,1,Non-binary,30,Black,None stated,Indian,"$35,000",Fair,6+ years,Moderate,"$30,000",0
728,1,Male,50,White,Mental health history,German,"$95,000",Good,2-5 years,Low,"$30,000",1
729,1,Female,45,White,Physical disability,Mexican,"$140,000",Excellent,Less than 1 year,Moderate,"$15,000",1
730,1,Male,50,Hispanic,Mental health history,Indian,"$140,000",Fair,6+ years,Moderate,"$30,000",1
731,1,Non-binary,55,White,Physical disability,Indian,"$140,000",Fair,6+ years,Low,"$5,000",1
732,1,Male,30,Black,Mental health history,German,"$95,000",Fair,2-5 years,High,"$30,000",0
733,1,Male,45,Asian,Physical disability,Canadian,"$35,000",Excellent,6+ years,Moderate,"$5,000",1
734,1,Female,55,Hispanic,None stated,German,"$35,000",Fair,2-5 years,Moderate,"$15,000",0
735,1,Female,30,White,None stated,Mexican,"$35,000",Excellent,2-5 years,Moderate,"$15,000",1
736,1,Female,40,Asian,Mental health history,German,"$35,000",Fair,Less than 1 year,Moderate,"$30,000",0
737,1,Female,55,White,Mental health history,German,"$140,000",Good,Less than 1 year,Moderate,"$5,000",1
738,1,Male,50,Asian,Mental health history,German,"$35,000",Good,2-5 years,Moderate,"$5,000",1
739,1,Female,45,Black,Physical disability,Mexican,"$140,000",Good,6+ years,High,"$30,000",1
740,1,Male,35,Black,Physical disability,Indian,"$35,000",Excellent,2-5 years,Moderate,"$5,000",1
741,1,Female,45,Asian,Mental health history,Indian,"$140,000",Good,Less than 1 year,High,"$30,000",1
742,1,Non-binary,55,Asian,Mental health history,German,"$95,000",Excellent,2-5 years,Low,"$5,000",1
743,1,Male,55,Asian,None stated,Indian,"$140,000",Excellent,2-5 years,Moderate,"$30,000",1
744,1,Non-binary,35,Hispanic,Mental health history,American,"$60,000",Good,Less than 1 year,Low,"$15,000",1
745,1,Male,55,Hispanic,Mental health history,American,"$95,000",Fair,2-5 years,Moderate,"$15,000",0
746,1,Non-binary,45,White,Physical disability,Indian,"$140,000",Good,6+ years,High,"$15,000",1
747,1,Non-binary,55,Hispanic,None stated,American,"$95,000",Excellent,Less than 1 year,Low,"$15,000",1
748,1,Male,35,Asian,Physical disability,Indian,"$35,000",Good,Less than 1 year,Low,"$30,000",0
749,1,Female,55,White,Mental health history,German,"$35,000",Fair,Less than 1 year,High,"$30,000",0
750,1,Female,55,White,None stated,German,"$95,000",Fair,Less than 1 year,Moderate,"$15,000",0
751,1,Female,40,Hispanic,Mental health history,Mexican,"$140,000",Fair,Less than 1 year,Low,"$5,000",1
752,1,Male,30,Asian,Physical disability,Indian,"$35,000",Good,6+ years,High,"$5,000",0
753,1,Female,45,Black,None stated,Canadian,"$35,000",Good,2-5 years,High,"$5,000",0
754,1,Female,50,White,None stated,American,"$140,000",Good,6+ years,Moderate,"$30,000",1
755,1,Male,30,White,Physical disability,Mexican,"$140,000",Excellent,6+ years,High,"$15,000",1
756,1,Male,35,Asian,Physical disability,Canadian,"$35,000",Fair,Less than 1 year,Moderate,"$5,000",0
757,1,Male,35,White,Physical disability,Mexican,"$35,000",Fair,2-5 years,Low,"$15,000",0
758,1,Female,35,Asian,None stated,Mexican,"$95,000",Good,2-5 years,Moderate,"$15,000",1
759,1,Female,30,Asian,None stated,Indian,"$60,000",Fair,Less than 1 year,Moderate,"$15,000",0
760,1,Female,55,Asian,Mental health history,Indian,"$95,000",Good,Less than 1 year,Low,"$15,000",1
761,1,Female,50,White,Mental health history,Mexican,"$95,000",Fair,6+ years,Low,"$30,000",1
762,1,Male,50,Asian,Mental health history,American,"$140,000",Good,6+ years,Moderate,"$30,000",1
763,1,Female,35,Hispanic,None stated,Indian,"$60,000",Fair,6+ years,High,"$15,000",0
764,1,Female,35,Black,Physical disability,Indian,"$60,000",Good,6+ years,High,"$5,000",1
765,1,Male,40,Hispanic,Physical disability,Canadian,"$35,000",Excellent,2-5 years,Low,"$5,000",1
766,1,Male,30,Asian,Physical disability,Mexican,"$35,000",Good,Less than 1 year,High,"$15,000",0
767,1,Male,50,Hispanic,Mental health history,Indian,"$60,000",Excellent,2-5 years,Moderate,"$5,000",1
768,1,Female,50,Asian,None stated,Indian,"$140,000",Fair,6+ years,Low,"$5,000",1
769,1,Female,40,White,None stated,American,"$35,000",Good,2-5 years,High,"$15,000",0
770,1,Male,30,White,None stated,German,"$140,000",Fair,2-5 years,Moderate,"$5,000",0
771,1,Non-binary,45,Hispanic,None stated,Canadian,"$60,000",Excellent,Less than 1 year,High,"$5,000",1
772,1,Non-binary,35,Hispanic,None stated,Indian,"$140,000",Good,2-5 years,Moderate,"$5,000",1
773,1,Male,30,Hispanic,Mental health history,German,"$35,000",Excellent,2-5 years,Moderate,"$30,000",1
774,1,Non-binary,50,Black,Mental health history,Indian,"$60,000",Excellent,Less than 1 year,High,"$15,000",1
775,1,Male,35,Black,None stated,Indian,"$35,000",Excellent,2-5 years,Moderate,"$5,000",1
776,1,Non-binary,40,White,None stated,Canadian,"$140,000",Good,2-5 years,Low,"$5,000",1
777,1,Female,55,Black,Mental health history,American,"$35,000",Excellent,6+ years,High,"$30,000",0
778,1,Male,30,Black,Physical disability,German,"$95,000",Good,Less than 1 year,High,"$15,000",0
779,1,Non-binary,30,Asian,Mental health history,Canadian,"$95,000",Fair,2-5 years,Moderate,"$5,000",0
780,1,Non-binary,45,Asian,Physical disability,German,"$95,000",Good,2-5 years,Low,"$15,000",1
781,1,Female,55,Black,None stated,German,"$95,000",Good,6+ years,Moderate,"$30,000",1
782,1,Non-binary,40,White,Physical disability,German,"$35,000",Fair,2-5 years,Low,"$30,000",0
783,1,Non-binary,45,White,Physical disability,American,"$95,000",Fair,Less than 1 year,High,"$15,000",0
784,1,Male,40,Black,Mental health history,American,"$95,000",Excellent,6+ years,High,"$5,000",1
785,1,Male,35,Black,Physical disability,German,"$140,000",Fair,6+ years,Low,"$30,000",1
786,1,Male,55,Asian,None stated,American,"$35,000",Fair,6+ years,High,"$30,000",0
787,1,Non-binary,50,Black,None stated,American,"$140,000",Fair,2-5 years,High,"$30,000",0
788,1,Female,35,White,Mental health history,Mexican,"$35,000",Good,2-5 years,High,"$5,000",0
789,1,Non-binary,40,Asian,Mental health history,Canadian,"$140,000",Excellent,2-5 years,Moderate,"$15,000",1
790,1,Female,45,Asian,Mental health history,Mexican,"$95,000",Good,Less than 1 year,Moderate,"$5,000",1
791,1,Female,30,White,Mental health history,German,"$35,000",Good,Less than 1 year,High,"$15,000",0
792,1,Male,55,Asian,Mental health history,American,"$60,000",Fair,Less than 1 year,Low,"$5,000",0
793,1,Male,30,Black,None stated,Indian,"$35,000",Fair,2-5 years,Moderate,"$5,000",0
794,1,Male,30,Hispanic,Physical disability,Canadian,"$95,000",Fair,Less than 1 year,Low,"$15,000",0
795,1,Male,35,White,Physical disability,Indian,"$35,000",Excellent,2-5 years,High,"$15,000",1
796,1,Non-binary,50,Black,None stated,American,"$35,000",Excellent,Less than 1 year,Moderate,"$15,000",0
797,1,Female,30,Asian,Mental health history,Indian,"$35,000",Good,2-5 years,Moderate,"$30,000",0
798,1,Female,45,Black,None stated,Mexican,"$35,000",Fair,6+ years,Moderate,"$5,000",0
799,1,Non-binary,45,White,None stated,Canadian,"$35,000",Excellent,6+ years,Moderate,"$15,000",1
800,1,Male,50,White,None stated,Mexican,"$60,000",Good,2-5 years,Low,"$5,000",1
801,1,Non-binary,55,Black,Mental health history,Mexican,"$95,000",Fair,Less than 1 year,High,"$15,000",0
802,1,Female,30,White,None stated,Canadian,"$95,000",Good,6+ years,Low,"$5,000",1
803,1,Non-binary,35,Black,None stated,Indian,"$140,000",Good,2-5 years,High,"$15,000",1
804,1,Male,35,White,Physical disability,Mexican,"$35,000",Good,6+ years,High,"$30,000",0
805,1,Non-binary,55,Hispanic,Mental health history,American,"$35,000",Excellent,2-5 years,Low,"$15,000",1
806,1,Female,45,Black,Physical disability,Indian,"$35,000",Good,6+ years,Low,"$30,000",1
807,1,Male,35,White,None stated,Indian,"$60,000",Fair,2-5 years,High,"$30,000",0
808,1,Female,45,Asian,Mental health history,Indian,"$35,000",Good,2-5 years,Low,"$15,000",1
809,1,Male,30,White,Physical disability,Indian,"$95,000",Fair,2-5 years,High,"$30,000",0
810,1,Non-binary,40,White,None stated,German,"$95,000",Excellent,Less than 1 year,Moderate,"$5,000",1
811,1,Male,50,Black,None stated,Mexican,"$95,000",Excellent,2-5 years,Moderate,"$30,000",1
812,1,Male,35,Asian,Physical disability,American,"$95,000",Fair,6+ years,Moderate,"$15,000",0
813,1,Male,45,Hispanic,Physical disability,Mexican,"$60,000",Excellent,2-5 years,High,"$15,000",1
814,1,Non-binary,50,Asian,Mental health history,Indian,"$60,000",Good,2-5 years,Low,"$15,000",1
815,1,Non-binary,30,Black,Physical disability,Canadian,"$60,000",Good,6+ years,Low,"$15,000",1
816,1,Female,30,Hispanic,None stated,German,"$95,000",Good,2-5 years,High,"$30,000",1
817,1,Female,35,White,Physical disability,Mexican,"$60,000",Excellent,2-5 years,Moderate,"$15,000",1
818,1,Female,30,Asian,Physical disability,Canadian,"$60,000",Excellent,Less than 1 year,Moderate,"$15,000",1
819,1,Female,35,Hispanic,Physical disability,Canadian,"$140,000",Good,Less than 1 year,High,"$15,000",0
820,1,Male,40,Asian,None stated,Indian,"$60,000",Fair,Less than 1 year,High,"$15,000",0
821,1,Female,30,Black,None stated,Indian,"$140,000",Excellent,6+ years,Low,"$15,000",1
822,1,Male,35,Asian,Physical disability,German,"$60,000",Excellent,Less than 1 year,High,"$5,000",0
823,1,Male,30,White,Physical disability,Canadian,"$140,000",Good,2-5 years,High,"$30,000",1
824,1,Non-binary,55,Hispanic,None stated,Indian,"$35,000",Fair,6+ years,High,"$5,000",0
825,1,Male,40,Hispanic,Mental health history,Mexican,"$95,000",Fair,6+ years,Moderate,"$5,000",1
826,1,Male,40,Asian,Physical disability,German,"$140,000",Excellent,2-5 years,Moderate,"$5,000",1
827,1,Non-binary,45,Asian,Physical disability,Indian,"$95,000",Good,2-5 years,Low,"$30,000",1
828,1,Non-binary,40,Black,None stated,Canadian,"$35,000",Fair,6+ years,Moderate,"$30,000",0
829,1,Male,55,White,None stated,Indian,"$35,000",Good,6+ years,Low,"$30,000",1
830,1,Male,55,White,Physical disability,Mexican,"$60,000",Good,6+ years,Moderate,"$30,000",1
831,1,Female,30,Black,Physical disability,Indian,"$95,000",Good,Less than 1 year,High,"$15,000",0
832,1,Male,40,Asian,None stated,Mexican,"$60,000",Good,6+ years,Moderate,"$15,000",1
833,1,Non-binary,35,Black,None stated,German,"$35,000",Good,6+ years,High,"$5,000",1
834,1,Female,35,Asian,Physical disability,Mexican,"$140,000",Good,2-5 years,High,"$30,000",0
835,1,Non-binary,30,Black,Physical disability,German,"$140,000",Fair,Less than 1 year,Low,"$30,000",0
836,1,Male,45,Hispanic,Physical disability,Canadian,"$60,000",Excellent,Less than 1 year,High,"$30,000",0
837,1,Female,40,Asian,None stated,Canadian,"$60,000",Good,Less than 1 year,Low,"$15,000",1
838,1,Non-binary,55,Asian,Mental health history,German,"$60,000",Fair,Less than 1 year,Moderate,"$5,000",0
839,1,Female,35,Hispanic,Physical disability,Indian,"$95,000",Excellent,2-5 years,Low,"$30,000",1
840,1,Male,50,Asian,Mental health history,Mexican,"$140,000",Good,2-5 years,Moderate,"$15,000",1
841,1,Non-binary,50,Asian,Mental health history,American,"$60,000",Excellent,2-5 years,Low,"$5,000",1
842,1,Male,35,Black,Physical disability,Canadian,"$60,000",Excellent,Less than 1 year,Low,"$30,000",1
843,1,Male,30,Hispanic,None stated,Mexican,"$95,000",Fair,Less than 1 year,Moderate,"$5,000",1
844,1,Female,50,Asian,Mental health history,Canadian,"$95,000",Excellent,Less than 1 year,Low,"$5,000",1
845,1,Non-binary,40,Black,Mental health history,Canadian,"$60,000",Fair,Less than 1 year,High,"$30,000",0
846,1,Non-binary,50,White,None stated,Indian,"$140,000",Good,Less than 1 year,Low,"$30,000",1
847,1,Male,40,Black,Physical disability,American,"$60,000",Excellent,Less than 1 year,High,"$30,000",0
848,1,Non-binary,40,Asian,Physical disability,German,"$35,000",Fair,6+ years,Moderate,"$30,000",0
849,1,Female,30,Asian,Physical disability,Mexican,"$140,000",Fair,2-5 years,Moderate,"$30,000",1
850,1,Male,30,Black,Mental health history,German,"$60,000",Good,6+ years,High,"$30,000",1
851,1,Female,35,Hispanic,Physical disability,Canadian,"$140,000",Fair,Less than 1 year,High,"$5,000",0
852,1,Male,35,Black,Mental health history,German,"$35,000",Good,Less than 1 year,Low,"$15,000",0
853,1,Female,35,Asian,Mental health history,Indian,"$60,000",Fair,Less than 1 year,High,"$5,000",0
854,1,Non-binary,35,Hispanic,Physical disability,Indian,"$60,000",Good,Less than 1 year,High,"$30,000",0
855,1,Male,40,Black,Physical disability,German,"$95,000",Fair,Less than 1 year,Moderate,"$5,000",0
856,1,Female,55,White,Physical disability,German,"$95,000",Good,2-5 years,Moderate,"$5,000",1
857,1,Male,35,White,None stated,Canadian,"$35,000",Good,2-5 years,High,"$5,000",1
858,1,Non-binary,40,Asian,Mental health history,Indian,"$60,000",Excellent,2-5 years,High,"$5,000",0
859,1,Female,45,Black,None stated,German,"$140,000",Fair,2-5 years,Low,"$5,000",0
860,1,Female,55,Hispanic,Mental health history,American,"$35,000",Excellent,2-5 years,Low,"$5,000",1
861,1,Non-binary,35,White,Mental health history,American,"$95,000",Excellent,6+ years,High,"$30,000",0
862,1,Non-binary,40,Black,Mental health history,Mexican,"$60,000",Excellent,6+ years,Moderate,"$5,000",1
863,1,Male,30,Asian,Mental health history,German,"$140,000",Good,6+ years,High,"$5,000",1
864,1,Male,40,Asian,None stated,Indian,"$60,000",Fair,2-5 years,Low,"$30,000",0
865,1,Non-binary,50,Hispanic,Physical disability,Indian,"$140,000",Good,Less than 1 year,Low,"$5,000",1
866,1,Female,45,Hispanic,Mental health history,Indian,"$140,000",Fair,6+ years,Low,"$30,000",1
867,1,Male,55,Hispanic,None stated,American,"$95,000",Good,Less than 1 year,Moderate,"$5,000",1
868,1,Non-binary,30,Hispanic,Physical disability,German,"$35,000",Fair,Less than 1 year,High,"$5,000",0
869,1,Non-binary,45,Asian,Physical disability,German,"$95,000",Good,Less than 1 year,High,"$5,000",0
870,1,Non-binary,35,Asian,Physical disability,Mexican,"$60,000",Fair,Less than 1 year,Moderate,"$5,000",0
871,1,Male,30,White,Mental health history,German,"$35,000",Good,6+ years,Low,"$30,000",1
872,1,Non-binary,45,White,Mental health history,Mexican,"$35,000",Fair,2-5 years,Low,"$5,000",0
873,1,Male,55,Black,Physical disability,American,"$35,000",Good,6+ years,Low,"$30,000",1
874,1,Male,30,Hispanic,Mental health history,Mexican,"$35,000",Excellent,Less than 1 year,Low,"$5,000",1
875,1,Male,30,Black,Physical disability,German,"$95,000",Excellent,Less than 1 year,High,"$30,000",1
876,1,Male,45,Hispanic,Mental health history,German,"$140,000",Good,6+ years,Moderate,"$30,000",1
877,1,Female,55,Asian,None stated,Mexican,"$140,000",Good,2-5 years,Moderate,"$5,000",1
878,1,Female,30,Black,Physical disability,German,"$140,000",Good,Less than 1 year,Moderate,"$5,000",1
879,1,Male,35,White,None stated,German,"$95,000",Good,2-5 years,High,"$15,000",1
880,1,Female,45,Black,None stated,Indian,"$140,000",Good,2-5 years,Moderate,"$15,000",1
881,1,Non-binary,40,White,Mental health history,American,"$140,000",Good,2-5 years,Low,"$30,000",1
882,1,Female,50,Black,Physical disability,Mexican,"$60,000",Good,Less than 1 year,High,"$5,000",0
883,1,Non-binary,30,White,Physical disability,American,"$35,000",Fair,Less than 1 year,Low,"$5,000",0
884,1,Female,55,Hispanic,None stated,American,"$140,000",Fair,Less than 1 year,Low,"$30,000",0
885,1,Female,30,Asian,Mental health history,American,"$60,000",Good,2-5 years,Moderate,"$15,000",1
